name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Go Beyond,368237190,9622655,WDM7781,0-AllShips,7-Cargo,283.3,191,0-Underway(Engine),0,1738655134,55,15,33.746023,-118.224703,2025-02-04T07:45:46Z
Starr,338350984,0,,0-AllShips,36-Sailing,-1,203.9,15-NotDefined,0,1738654884,12,2,33.982427,-118.447537,2025-02-04T07:45:46Z
Althea,338396669,0,,0-AllShips,36-Sailing,341.5,208.8,15-NotDefined,0,1738654981,10,4,33.719557,-118.281627,2025-02-04T07:45:46Z
Clarity,367721260,0,WDI6692,0-AllShips,37-Pleasure,249.2,279.9,5-Moored,0,1738654818,24,6,33.609598,-117.88861,2025-02-04T07:45:46Z
Ranger,368926530,9842231,NRGR,0-AllShips,4-HSC,94.7,269,5-Moored,0,1738655061,57,10,34.151523,-119.207898,2025-02-04T07:45:46Z
Wan Hai 356,563176800,9554078,9V7385,1-HazCatX,7-Cargo,166.4,90,5-Moored,0,1738654983,204,35,33.736723,-118.192717,2025-02-04T07:45:46Z
Titus,338034287,0,TITUS,0-AllShips,37-Pleasure,323.1,323.9,15-NotDefined,0,1738655095,20,6,33.713875,-118.058593,2025-02-04T07:45:46Z
Westerly,338160209,0,,0-AllShips,36-Sailing,275.3,67.4,15-NotDefined,0.1,1738655136,11,4,34.407157,-119.69196,2025-02-04T07:45:46Z
Aeronautical,338468221,0,,0-AllShips,37-Pleasure,358.3,264,15-NotDefined,0,1738655132,13,4,33.721513,-118.281062,2025-02-04T07:45:46Z
Icanus,338513979,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655098,8,2,33.609267,-117.90922,2025-02-04T07:45:46Z
Lana,367565520,0,WDG7263,0-AllShips,6-Passenger,172.3,172.3,0-Underway(Engine),0.7,1738655134,19,6,33.733228,-118.160742,2025-02-04T07:45:46Z
Malolo,338238296,0,,0-AllShips,37-Pleasure,30.5,9.2,15-NotDefined,0.1,1738654863,9,2,33.459837,-117.695678,2025-02-04T07:45:46Z
